Obs;Active Alarms;Name;Type;Subtype;Intersection;Area;Last Update;Operation mode;Active plan;Info
informational;;03.03;EC-2 Nordic;;H. C. Andersens Boulevard/Niels Brocks Gade;AG03;Sep 2, 2025 1:01:15 PM;ON / Control;PL02/Calendar;B prio
informational;;03.04;EC-2 Nordic;;H. C. Andersens Boulevard/Rysenstensgade;AG03;Sep 2, 2025 1:05:45 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.05;EC-2 Nordic;;Klaksvigsgade/Weidekampsgade;AG03;Sep 2, 2025 12:48:40 PM;ON / Control;PL02/Calendar;EC2 C prio
attention;Lamp error;03.06;EC-2 Nordic;;Amager Boulevard/Klaksvigsgade;AG03;Sep 2, 2025 1:01:59 PM;ON / Control;PL02/Calendar;EC1+ B prio
healthy;;03.07;EC-2 Nordic;;Amager Boulevard/Amager FÃ¦lledvej;AG03;Sep 2, 2025 12:48:44 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.08;EC-2 Nordic;;Njalsgade/Islands Brygge;AG03;Sep 2, 2025 12:48:17 PM;ON / Control;PL03/Calendar;EC1+ C prio
informational;;03.09;EC-2 Nordic;;Amager FÃ¦lledvej/Peter Vedels Gade;AG03;Sep 2, 2025 12:48:41 PM;ON / Control;PL02/Calendar;C prio
attention;;03.10;EC-2 Nordic;;Vester Voldgade/Stormgade/LÃ¸ngangsstrÃ¦de;AG03;Sep 2, 2025 12:51:24 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.11;EC-2 Nordic;;Stormgade/Frederiksholmens Kanal ;AG03;Sep 2, 2025 12:51:23 PM;ON / Control;PL02/Calendar;B prio
off;System Alarms;03.12;RSMP;;Vester Voldgade/Rysensteensgade;AG03;Jun 25, 2025 7:51:47 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
attention;Lamp error;03.13;EC-2 Nordic;;Amager Boulevard/Ã˜restads Blvd;AG03;Sep 2, 2025 1:04:42 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.14;EC-2 Nordic;;Amager Boulevard ved Stadsgraven;AG03;Sep 2, 2025 1:04:42 PM;ON / Control;PL02/Calendar;
healthy;;04.01;EC-2 Nordic;;HCA Boulevard/Vesterbrogade;AG04;Sep 2, 2025 12:48:17 PM;ON / Control;PL02/Calendar;A prio
healthy;;04.02;EC-2 Nordic;;HCA Boulevard/Jernbanegade  ;AG04;Sep 2, 2025 12:49:19 PM;ON / Control;PL02/Calendar;B prio
attention;Lamp error;04.03;EC-2 Nordic;;HCA Boulevard/StudiestrÃ¦de;AG04;Sep 2, 2025 1:04:28 PM;ON / Control;PL02/Calendar;B prio
attention;Lamp error;04.04;EC-2 Nordic;;HCA Boulevard/Jarmers Plads/Vester Voldgade;AG04;Sep 2, 2025 12:50:52 PM;ON / Control;PL02/Calendar;B prio
attention;;04.05;EC-2 Nordic;;GyldenlÃ¸vesgade/Farimagsgade;AG04;Sep 2, 2025 1:04:27 PM;ON / Control;PL02/Calendar;B prio
attention;Lamp error;04.06;EC-2 Nordic;;GyldenlÃ¸vesgade/Vester SÃ¸gade/NÃ¸rre SÃ¸gade;AG04;Sep 2, 2025 1:00:11 PM;ON / Control;PL03/Calendar;A prio
healthy;;04.07;EC-2 Nordic;;GyldenlÃ¸vesgade/RosenÃ¸rns Alle;AG04;Sep 2, 2025 12:47:53 PM;ON / Control;PL02/Calendar;A prio
attention;Lamp error;04.08;EC-2 Nordic;;Vester Voldgade/Jarmers Plads;AG04;Sep 2, 2025 12:50:22 PM;ON / Control;PL02/Calendar;B prio
informational;;04.09;EC-2 Nordic;;Vester Voldgade/StudiestrÃ¦de;AG04;Sep 2, 2025 1:05:18 PM;ON / Control;PL04/Calendar;B prio
healthy;;04.10;EC-2 Nordic;;RÃ¥dhuspladsen/Frederiksberggade;AG04;Sep 2, 2025 12:48:41 PM;ON / Control;PL02/Calendar;B prio
off;System Alarms;05.01-S;RSMP;;NÃ¸rre Voldgade/Gothersgade;AG05;Oct 1, 2024 11:52:17 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2, B Prio
off;System Alarms;05.02-S;RSMP;;NÃ¸rre Voldgade/Frederiksborggade;AG05;Sep 14, 2022 11:41:09 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2, B prio
off;System Alarms;05.03;RSMP;;NÃ¸rre Voldgade/Vendersgade;AG05;Jan 28, 2020 1:09:07 PM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2, B prio
informational;;05.04;EC-2 Nordic;;NÃ¸rre Farimagsgade/Gothersgade;AG05;Sep 2, 2025 12:49:20 PM;ON / Control;PL05/Calendar;EC1+, C prio
informational;;05.05;EC-2 Nordic;;NÃ¸rre Farimagsgade/Frederiksborggade;AG05;Sep 2, 2025 12:47:15 PM;ON / Control;PL05/Calendar;C prio
informational;;05.06;EC-2 Nordic;;NÃ¸rre Farimagsgade/Vendersgade;AG05;Sep 2, 2025 12:49:19 PM;ON / Control;PL03/Calendar;C prio
healthy;;05.07 ;RSMP;;NÃ¸rre Farimagsgade - Ahlenfeldtsgade;AG 05;Sep 2, 2025 1:01:32 PM;ON / Control;PL03/Unknown;ITC-3/N
off;Detector error;05.08-S;RSMP;;NÃ¸rre Voldgade/LinnÃ©sgade;AG05;Jan 28, 2020 1:09:12 PM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2, X prio
off;Lamp error;05.10-S;RSMP;;Gothersgade/LandemÃ¦rket;AG05;Mar 2, 2021 8:35:16 PM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2, C prio
attention;;06.01;EC-2 Nordic;;Prinsessegade/BÃ¥dsmandsstrÃ¦de;AG06;Sep 2, 2025 1:06:37 PM;ON / Control;PL01/Calendar;X Prio
attention;Lamp error;06.02;EC-2 Nordic;;Torvegade/Strandgade;AG06;Sep 2, 2025 12:51:57 PM;ON / Control;PL02/Calendar;B prio
attention;;06.03;EC-2 Nordic;;Torvegade /Overgaden o. Vandet/Dronningens gade/Prinsesse gade;AG06;Sep 2, 2025 1:00:10 PM;ON / Control;PL03/Calendar;B prio
healthy;;06.04;EC-2 Nordic;;Prinsessegade/Skt. AnnÃ¦ Gade;AG06;Sep 2, 2025 12:49:21 PM;ON / Control;PL01/Calendar;EC1+, C prio
unknown;Lamp error;06.05;EC-2 Nordic;;Christmas MÃ¸llers Plads/Ved Stadsgraven;AG06;Sep 2, 2025 10:23:22 AM;Unknown / Unknown;PL-1/Unknown;A prio
healthy;;06.06;EC-2 Nordic;;Amagerbrogade/Amager Boulevard;AG06;Sep 2, 2025 1:05:31 PM;ON / Control;PL01/Calendar;B prio
attention;;06.07;EC-2 Nordic;;Amagerbrogade/Holmbladsgade;AG06;Sep 2, 2025 1:00:10 PM;ON / Control;PL01/Calendar;B prio
informational;;06.08;EC-2 Nordic;;Holmbladsgade/Ã…landsgade;AG06;Sep 2, 2025 1:00:31 PM;ON / Control;PL01/Calendar;EC1+, C prio
attention;Safety error;06.09;EC-2 Nordic;;Amagerbrogade/Brysselsgade;AG06;Sep 2, 2025 12:49:21 PM;ON / Control;PL01/Calendar;B prio
healthy;;06.10;EC-2 Nordic;;Amagerbrogade/Store MÃ¸lle Vej;AG06;Sep 2, 2025 1:06:16 PM;ON / Control;PL01/Calendar;X prio
healthy;;06.11;EC-2 Nordic;;Amagerbrogade - FodgÃ¦ngerfelt;AG 06;Sep 2, 2025 1:03:00 PM;ON / Control;PL01/Calendar;
healthy;;07.01;EC-2 Nordic;;Christiansborg Slotsplads/Holmens Kanal;AG07;Sep 2, 2025 1:03:38 PM;ON / Control;PL02/Calendar;B prio
informational;;07.02;EC-2 Nordic;;Christiansborg Slotsplads/HÃ¸jbro;AG07;Sep 2, 2025 1:03:22 PM;ON / Control;PL03/Calendar;B prio
attention;Lamp error;07.05;EC-2 Nordic;;Bremerholm/Havnegade;AG07;Sep 2, 2025 1:01:58 PM;ON / Control;PL02/Calendar;B prio
attention;Lamp error;07.06;EC-2 Nordic;;Bremerholm/VingÃ¥rdsstrÃ¦de;AG07;Sep 2, 2025 1:05:30 PM;ON / Control;PL03/Calendar;C prio
attention;;07.07;EC-2 Nordic;;Bremerholm/Lille Kongensgade;AG07;Sep 2, 2025 1:03:39 PM;ON / Control;PL03/Calendar;C prio
attention;Lamp error;07.08;EC-2 Nordic;;Gammel MÃ¸nt/SvÃ¦rtegade;AG07;Sep 2, 2025 12:49:20 PM;ON / Control;PL03/Calendar;C prio
healthy;;07.09;EC-2 Nordic;;Gothersgade/Kronprinsessegade;AG07;Sep 2, 2025 1:03:02 PM;ON / Control;PL03/Calendar;EC-2 C prio
attention;;07.11;EC-2 Nordic;;Nytorv/Gammeltorv;AG07;Sep 2, 2025 1:02:36 PM;ON / Control;PL02/Calendar;C prio
healthy;;07.12;EC-2 Nordic;;Knippelsbro - hÃ¸jdemÃ¥ler;AG07;Sep 2, 2025 12:57:41 PM;ON / Control;PL01/Calendar;
attention;;07.13;EC-2 Nordic;;Havnegade/Niels Juelsgade;AG07;Sep 2, 2025 12:59:11 PM;ON / Control;PL02/Calendar;
healthy;;07.14;EC-2 Nordic;;BÃ¸rsgade/BÃ¸rsbroen;AG07;Sep 2, 2025 1:03:22 PM;ON / Control;PL02/Calendar;B prio
informational;;08.01;EC-2 Nordic;;Store Kongensgade/Esplanaden;AG08;Sep 2, 2025 12:48:40 PM;ON / Control;PL03/Calendar;B prio
informational;;08.02 ;EC-2 Nordic;;Store Kongensgade/Dronningens TvÃ¦rgade;AG08;Sep 2, 2025 12:47:13 PM;ON / Control;PL02/Calendar;B prio
healthy;;08.03;EC-2 Nordic;;Kongens Nytorv/Gothersgade;AG08;Sep 2, 2025 1:06:30 PM;ON / Control;PL03/Calendar;EC1+, B prio
healthy;;08.04;EC-2 Nordic;;Marmorkirken/Frederiksgade;AG08;Sep 2, 2025 12:49:20 PM;ON / Control;PL02/Calendar;
attention;;08.05;EC-2 Nordic;;Borgergade/Dronningens TvÃ¦rgade;AG08;Sep 2, 2025 1:05:44 PM;ON / Control;PL03/Calendar;C prio
attention;Lamp error;08.06;EC-2 Nordic;;Holmens Kanal/Niels Juels Gade;AG08;Sep 2, 2025 1:01:15 PM;ON / Control;PL03/Calendar;A prio
attention;Lamp error;08.07;EC-2 Nordic;;Kongens Nytorv/Bredgade;AG08;Sep 2, 2025 12:49:20 PM;ON / Control;PL03/Calendar;EC1+, B prio
healthy;;08.08 ;EC-2 Nordic;;Bredgade/Dronningens TvÃ¦rgade;AG08;Sep 2, 2025 12:49:21 PM;ON / Control;PL03/Calendar;B prio
healthy;;08.09 ;EC-2 Nordic;;Bredgade/Frederiksgade;AG08;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;B prio
attention;;08.10;EC-2 Nordic;;Toldbodgade/Sankt AnnÃ¦ Plads;AG08;Sep 2, 2025 12:48:44 PM;ON / Control;PL02/Calendar;EC1+, C prio
attention;Lamp error;08.11;EC-2 Nordic;;Toldbodgade/Nyhavn;AG08;Sep 2, 2025 12:47:13 PM;ON / Control;PL04/Calendar;C prio
healthy;;08.12;EC-2 Nordic;;Kongens Nytorv/Lille Kongensgade;AG08;Sep 2, 2025 1:03:37 PM;ON / Control;PL02/Calendar;B prio
healthy;;08.13;EC-2 Nordic;;Bredgade/Skt. AnnÃ¦ Plads;AG08;Sep 2, 2025 1:06:23 PM;ON / Control;PL03/Calendar;EC1+, C prio
informational;;08.14 ;EC-2 Nordic;;GrÃ¸nningen/Esplanaden;AG08;Sep 2, 2025 12:46:39 PM;ON / Control;PL03/Calendar;C prio
healthy;;09.02 ;EC-2 Nordic;;Borgergade/SÃ¸lvgade;AG09;Sep 2, 2025 12:46:35 PM;ON / Control;PL04/Calendar;
healthy;;09.03;EC-2 Nordic;;SÃ¸lvgade/Kronprinsessegade;AG09;Sep 2, 2025 12:46:33 PM;ON / Control;PL03/Calendar;EC1+
attention;;09.04;EC-2 Nordic;;SÃ¸lvgade/Ã˜ster Voldgade;AG09;Sep 2, 2025 12:49:21 PM;ON / Control;PL03/Calendar;
attention;Lamp error;09.05;EC-2 Nordic;;SÃ¸lvtorvet;AG09;Sep 2, 2025 12:49:20 PM;ON / Control;PL03/Calendar;
informational;;09.06;EC-2 Nordic;;Fredens Bro/Ã˜ster SÃ¸gade;AG09;Sep 2, 2025 1:00:55 PM;ON / Control;PL03/Calendar;A prio
attention;Lamp error;09.08;EC-2 Nordic;;Fredensgade/Blegdamsvej;AG09;Sep 2, 2025 1:01:32 PM;ON / Control;PL03/Calendar;
attention;Lamp error;09.09;EC-2 Nordic;;Tagensvej/NÃ¸rre Alle;AG09;Sep 2, 2025 1:00:55 PM;ON / Control;PL03/Calendar;A prio
informational;;09.10.;EC-2 Nordic;;Ã˜ster Farimagsgade/Hallingsgade;AG09;Sep 2, 2025 12:46:11 PM;ON / Control;PL02/Calendar;
healthy;;10.02;EC-2 Nordic;;Oslo Plads/Ã˜stervoldgade;AG10;Sep 2, 2025 12:49:19 PM;ON / Control;PL02/Calendar;A prio
attention;Lamp error;10.03;EC-2 Nordic;;Oslo Plads/Ã˜stbanegade;AG10;Sep 2, 2025 12:49:21 PM;ON / Control;PL02/Calendar;
attention;Lamp error;10.04;EC-2 Nordic;;Oslo Plads/Kristianagade;AG10;Sep 2, 2025 1:03:02 PM;ON / Control;PL02/Calendar;EC1+
healthy;;10.05 ;EC-2 Nordic;;Lille Triangel;AG10;Sep 2, 2025 1:03:01 PM;ON / Control;PL03/Calendar;
attention;Lamp error;10.06 ;EC-2 Nordic;;Trianglen/Ã˜sterbrogade/Nordre Frihavnsgade;AG10;Sep 2, 2025 1:01:32 PM;ON / Control;PL03/Calendar;
healthy;;10.07;RSMP;;Ã˜sterbrogade/IdrÃ¦tsparken;AG10;Sep 2, 2025 1:02:18 PM;ON / Control;PL03/Unknown;ITC-3/N
healthy;;10.08 ;RSMP;;Randersgade/Ã…rhusgade;AG 10;Sep 2, 2025 1:01:13 PM;ON / Control;PL03/Unknown;ITC_3/N
healthy;;10.09;EC-2 Nordic;;Trianglen/Blegdamsvej/Ã˜ster AllÃ©;AG10;Sep 2, 2025 12:51:58 PM;ON / Control;PL03/Calendar;
healthy;;10.10;RSMP;;Ã˜ster Voldgade/Kronprinsessegade;AG 10;Sep 2, 2025 1:00:30 PM;ON / Control;PL04/Unknown;ITC-3/N
informational;;10.11;EC-2 Nordic;;Ã˜sterbrogade/Ryesgade;AG10;Sep 2, 2025 12:49:20 PM;ON / Control;PL03/Calendar;
attention;;10.12;EC-2 Nordic;;Trianglen Syd/Ã˜sterbrogade;AG10;Sep 2, 2025 1:05:44 PM;ON / Control;PL02/Calendar;
healthy;;10.13;EC-2 Nordic;;GrÃ¸nningen - FodgÃ¦ngerkrydsning;AG10;Sep 2, 2025 12:46:38 PM;ON / Control;PL01/Calendar;EC2
healthy;;11.05;EC-2 Nordic;;KalkbrÃ¦nderihavnsgade/Ã…rhusgade;AG11;Sep 2, 2025 12:48:42 PM;ON / Control;PL04/Calendar;EC-2 C-prio
attention;Lamp error;11.06 ;EC-2 Nordic;;KalkbrÃ¦nderihavnsgade/Indiakaj/Folke Bernadottes AllÃ©;AG11;Sep 2, 2025 1:02:20 PM;ON / Control;PL04/Calendar;EC-2 C-prio
attention;Lamp error;11.07 ;EC-2 Nordic;;KalkbrÃ¦nderihavnsgade/Pakhusvej;AG11;Sep 2, 2025 1:00:25 PM;ON / Control;PL04/Calendar;EC1+
healthy;;11.08 ;EC-2 Nordic;;KalkbrÃ¦nderihavnsgade/DampfÃ¦rgevej Nord;AG11;Sep 2, 2025 1:03:39 PM;ON / Control;PL04/Calendar;EC1+
off;System Alarms;11.09;RSMP;;KalkbrÃ¦nderihavnsgade/Marmormolen;AG11;Jul 11, 2025 5:40:23 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
healthy;;11.10 ;RSMP;;KalkbrÃ¦nderhavnsgade-ved Gittervej, udkÃ¸rsel fra byggeplads;AG11;Sep 2, 2025 1:00:29 PM;ON / Control;PL01/Unknown;ITC-3/N
unknown;Detector error;11.12;EC-2 Nordic;;KalkbrÃ¦nderihavnsgade/Vordingborggade;AG11;Sep 2, 2025 9:39:00 AM;Unknown / Unknown;PL-1/Unknown;EC1+ A prio
off;System Alarms;11.13 P;RSMP;;StrandvÃ¦nget ved SvanemÃ¸llehavnen;AG11;Feb 29, 2024 7:46:09 AM;Unknown / Unknown;PL-1/Unknown;RSMP La Croix
attention;Lamp error;12.01 ;EC-2 Nordic;;Vognmandsmarken/Vennemindevej;AG12;Sep 2, 2025 1:03:01 PM;ON / Control;PL03/Calendar;
healthy;;12.02 ;EC-2 Nordic;;Vennemindevej/NygÃ¥rdsvej;AG12;Sep 2, 2025 12:49:45 PM;ON / Control;PL03/Calendar;
healthy;;12.03 ;EC-2 Nordic;;Jagtvej/Vennemindevej;AG12;Sep 2, 2025 12:49:38 PM;ON / Control;PL03/Calendar;EC1+
informational;;12.04 ;EC-2 Nordic;;Ã˜sterbrogade/NygÃ¥rdsvej;AG12;Sep 2, 2025 12:49:46 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;12.05;EC-2 Nordic;;Ã˜sterbrogade/SvanemÃ¸lleslÃ¸jfen;AG12;Sep 2, 2025 1:03:02 PM;ON / Control;PL03/Calendar;
attention;;12.06;EC-2 Nordic;;Jagtvej/Sankt Kjelds Gade;AG12;Sep 2, 2025 12:49:21 PM;ON / Control;PL03/Calendar;
attention;Lamp error;12.07 ;EC-2 Nordic;;Strandvejen/StrandÃ¸re;AG12;Sep 2, 2025 12:59:11 PM;ON / Control;PL02/Calendar;
healthy;;12.08 ;EC-2 Nordic;;Strandvejen/Gammel Vartov Vej;AG12;Sep 2, 2025 12:49:45 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;12.09;EC-2 Nordic;;Strandvejen/Tuborgvej;AG12;Sep 2, 2025 1:00:32 PM;ON / Control;PL03/Calendar;
attention;Lamp error;12.10 ;EC-2 Nordic;;Ã˜sterbrogade/Jagtvej;AG12;Sep 2, 2025 1:01:58 PM;ON / Control;PL07/Calendar;
attention;Lamp error;12.11;EC-2 Nordic;;StrandvÃ¦nget/Strandpromenaden;AG12;Sep 2, 2025 1:01:33 PM;ON / Control;PL07/Calendar;EC-2 C-prio
attention;Lamp error;12.12;EC-2 Nordic;;Strandvejen/Ryvangs AllÃ©;AG12;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;
off;System Alarms;12.13 P;RSMP;;Ryvangs AllÃ©/SvanemÃ¸llens Kaserne;AG12;Mar 1, 2024 6:14:09 AM;Unknown / Unknown;PL-1/Unknown;RSMP La Corix
healthy;;13.01 P;RSMP;;Sundkrogsgade - Helsinkigade;AG13;Sep 2, 2025 1:02:35 PM;ON / Control;PL04/Unknown;ITC3
healthy;;13.02 P;RSMP;;Orientkaj - Sundkrogsgade;AG13;Sep 2, 2025 1:02:35 PM;ON / Control;PL04/Unknown;ITC3
healthy;;13.03 P;RSMP;;Sundkrogsgade - Alexandriagade;AG13;Sep 2, 2025 1:02:18 PM;ON / Control;PL04/Unknown;ITC3
healthy;;13.04 P;RSMP;;Sundkrogsgade - Istanbulgade;AG13;Sep 2, 2025 1:00:30 PM;ON / Control;PL04/Unknown;ITC3
off;System Alarms;13.05;RSMP;;Skudehavnsvej/FÃ¦rgehavnsvej ;AG13;Sep 17, 2024 2:05:09 PM;Unknown / Unknown;PL-1/Unknown;ITC-2
healthy;;13.11 P;RSMP;;Helsinkigade/Southamptongade;AG13;Sep 2, 2025 1:03:38 PM;ON / Control;PL02/Unknown;ITC-3
attention;Lamp error;13.12;RSMP;;Orientkaj/Det GrÃ¸nne Loop;AG13;Sep 2, 2025 1:01:31 PM;ON / Control;PL01/Unknown;ITC-3/N
informational;;14.01;EC-2 Nordic;;Lyngbyvej/Emdrupvej;AG14;Sep 2, 2025 12:49:19 PM;ON / Control;PL02/Calendar;EC1+
attention;;14.02;EC-2 Nordic;;Lyngbyvej/Ryparken Station;AG14;Sep 2, 2025 12:46:39 PM;ON / Control;PL04/Calendar;EC1+
attention;Hardware error;14.03;RSMP;;Hans Knudsens Plads;AG14;Sep 2, 2025 1:00:43 PM;ON / Control;PL03/Unknown;ITC_3/N
healthy;;14.04;EC-2 Nordic;;Lyngbyvej/Haraldsgade;AG14;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;EC-2 B-prio
attention;Lamp error;14.06;EC-2 Nordic;;Vibenshus Runddel;AG14;Sep 2, 2025 1:02:36 PM;ON / Control;PL03/Calendar;EC-2 A-prio
healthy;;14.08;EC-2 Nordic;;NÃ¸rre AllÃ©/Universitetsparken;AG14;Sep 2, 2025 1:02:19 PM;ON / Control;PL03/Calendar;EC-2 B-prio
healthy;;14.10;EC-2 Nordic;;NÃ¸rre AllÃ©/Universitetet;AG14;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;EC-2 C-prio
off;System Alarms;14.11;RSMP;;Ã˜ster AllÃ©/Edel Sauntes AllÃ©;AG14;Jun 25, 2025 7:54:47 AM;Unknown / Unknown;PL-1/Unknown;ITC-2
healthy;;15.01;EC-2 Nordic;;LersÃ¸ ParkallÃ©/Jagtvej;AG15;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;EC-2 C-prio
attention;Lamp error;15.03 ;EC-2 Nordic;;Haraldsgade/Vermundsgade;AG15;Sep 2, 2025 12:47:15 PM;ON / Control;PL03/Calendar;
healthy;;15.04;EC-2 Nordic;;LersÃ¸ Parkalle/Aldersrogade;AG15;Sep 2, 2025 12:47:40 PM;ON / Control;PL03/Calendar;EC1+ C-prio
attention;;15.05 ;EC-2 Nordic;;LersÃ¸ ParkallÃ©/Haraldsgade;AG15;Sep 2, 2025 12:50:52 PM;ON / Control;PL03/Calendar;
attention;Lamp error;15.06 ;EC-2 Nordic;;LersÃ¸ ParkallÃ©/StrÃ¸damsvej;AG15;Sep 2, 2025 1:05:44 PM;ON / Control;PL03/Calendar;EC1+
healthy;;15.07 ;EC-2 Nordic;;LersÃ¸ ParkallÃ©/Gribskovvej;AG15;Sep 2, 2025 1:03:21 PM;ON / Control;PL03/Calendar;
attention;Lamp error;15.08 ;EC-2 Nordic;;Tuborgvej/Bispebjergvej;AG15;Sep 2, 2025 12:46:38 PM;ON / Control;PL03/Calendar;EC1+
attention;;15.09 ;EC-2 Nordic;;Tuborgvej/LersÃ¸ ParkallÃ©;AG15;Sep 2, 2025 12:47:38 PM;ON / Control;PL03/Calendar;
attention;Lamp error;15.10 ;EC-2 Nordic;;Tuborgvej/Emdrupvej;AG15;Sep 2, 2025 12:46:51 PM;ON / Control;PL03/Calendar;
informational;;15.11;EC-2 Nordic;;Tuborgvej/Vestre LÃ¦ngdevej;AG15;Sep 2, 2025 1:04:41 PM;ON / Control;PL04/Calendar;
healthy;;16.01;EC-2 Nordic;;Jagtvej/Mimersgade;AG16;Sep 2, 2025 1:05:10 PM;ON / Control;PL03/Calendar;
attention;Detector error;16.04;EC-2 Nordic;;Rovsinggade/Vermundsgade;AG16;Sep 2, 2025 1:05:46 PM;ON / Control;PL01/Calendar;
attention;Lamp error;16.05;EC-2 Nordic;;Tagensvej/Jagtvej;AG16;Sep 2, 2025 12:46:37 PM;ON / Control;PL03/Calendar;
healthy;;16.06;EC-2 Nordic;;Tagensvej/RÃ¥dmandsgade;AG16;Sep 2, 2025 12:48:16 PM;ON / Control;PL03/Calendar;
attention;Lamp error;16.07 ;EC-2 Nordic;;Tagensvej/Haraldsgade;AG16;Sep 2, 2025 12:50:51 PM;ON / Control;PL03/Calendar;
healthy;;16.08;EC-2 Nordic;;Tagensvej/Rovsinggade;AG16;Sep 2, 2025 1:05:46 PM;ON / Control;PL02/Calendar;
attention;;16.09;EC-2 Nordic;;Tagensvej/Lygten;AG16;Sep 2, 2025 1:04:42 PM;ON / Control;PL04/Calendar;EC1+
healthy;;16.10.;EC-2 Nordic;;Tagensvej/Hovmestervej;AG16;Sep 2, 2025 1:00:03 PM;ON / Control;PL04/Calendar;EC1+
attention;Lamp error;16.11 ;EC-2 Nordic;;Lygten/FyrbÃ¸dervej;AG16;Sep 2, 2025 12:47:39 PM;ON / Control;PL02/Calendar;
attention;Lamp error;16.12 ;EC-2 Nordic;;Tagensvej ved Bispebjerg Station - fodgÃ¦ngerfelt;AG16;Sep 2, 2025 12:50:22 PM;ON / Control;PL02/Calendar;EC1+
healthy;;17.01;EC-2 Nordic;;Frederiksborgvej/Birkedommervej;AG17;Sep 2, 2025 12:49:19 PM;ON / Control;PL02/Calendar;EC1+
informational;;17.02 ;EC-2 Nordic;;Tagensvej - Frederiksborgvej;AG17;Sep 2, 2025 1:01:15 PM;ON / Control;PL02/Calendar;
healthy;;17.03 ;EC-2 Nordic;;Frederiksborgvej/Bispebjerg ParkallÃ©;AG17;Sep 2, 2025 1:05:10 PM;ON / Control;PL02/Calendar;EC1+
healthy;;17.04 ;EC-2 Nordic;;Frederiksborgvej/Emdrupvej;AG17;Sep 2, 2025 12:59:11 PM;ON / Control;PL02/Calendar;
off;System Alarms;17.05;RSMP;;TomsgÃ¥rdsvej/Rentemestervej;AG17;Jun 24, 2025 7:38:04 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
attention;Lamp error;17.06;EC-2 Nordic;;Tuborgvej/Frederiksborgvej;AG17;Sep 2, 2025 12:49:21 PM;ON / Control;PL02/Calendar;EC1+
healthy;;17.07;EC-2 Nordic;;TomsgÃ¥rdsvej/Birkedommervej;AG17;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;
attention;;17.08;EC-2 Nordic;;TomsgÃ¥rdsvej/Frederikssundsvej;AG17;Sep 2, 2025 1:05:46 PM;ON / Control;PL03/Calendar;
attention;Lamp error;17.09 ;EC-2 Nordic;;Frederikssundsvej/Borups AllÃ©;AG17;Sep 2, 2025 1:05:45 PM;ON / Control;PL03/Calendar;
healthy;;17.10.;EC-2 Nordic;;Frederikssundsvej/BellahÃ¸jvej;AG17;Sep 2, 2025 1:04:42 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;17.11 ;EC-2 Nordic;;Hareskovvej/Utterslevvej;AG17;Sep 2, 2025 1:04:42 PM;ON / Control;PL03/Calendar;EC1+
healthy;;17.12 ;EC-2 Nordic;;Utterslev Torv;AG17;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;EC1+
attention;;17.13;EC-2 Nordic;;Tuborgvej/Tagensvej;AG17;Sep 2, 2025 12:51:22 PM;ON / Control;PL02/Calendar;
off;;17.14 ;EC-2 Nordic;;Borups AllÃ© - Trafikplads, FodgÃ¦ngersignal;AG17;Aug 26, 2025 10:52:45 AM;Unknown / Unknown;PL-1/Unknown;EC1+
healthy;;18.01 ;EC-2 Nordic;;NÃ¸rrebrogade/Dosseringen;AG18;Sep 2, 2025 1:04:06 PM;ON / Control;PL03/Calendar;EC1+
healthy;;18.02 ;EC-2 Nordic;;NÃ¸rrebrogade/FÃ¦lledvej;AG18;Sep 2, 2025 12:47:13 PM;ON / Control;PL03/Calendar;EC1+
healthy;;18.03 ;EC-2 Nordic;;NÃ¸rrebrogade/Elmegade;AG18;Sep 2, 2025 1:04:29 PM;ON / Control;PL03/Calendar;
healthy;;18.04 ;EC-2 Nordic;;NÃ¸rrebrogade/Kapelvej;AG18;Sep 2, 2025 12:48:15 PM;ON / Control;PL04/Calendar;
attention;Lamp error;18.05;EC-2 Nordic;;NÃ¸rrebrogade/SjÃ¦llandsgade;AG18;Sep 2, 2025 12:58:04 PM;ON / Control;PL03/Calendar;
attention;Lamp error;18.06;EC-2 Nordic;;NÃ¸rrebrogade/Jagtvej;AG18;Sep 2, 2025 1:05:46 PM;ON / Control;PL03/Calendar;A prio
