Top 1000 values of siteName,Top 100 values of sensorName,Top 3 values of scalarUnit,"average(scalarValue) * 3.6
"
"KK-1907-CO-SWA-01 - Counting station, Frederikssundsvej 23, Mastra #117",KK+CO1907=001DL001 - S0202 - Average speed,m/s,28.212
KK-2213-RD-VIS-01 - Islevhusvej 85 - højre - øst - Radar,KK+RG2213=001DL000 - S0202 - Average speed,m/s,45.393
KK-2310-RD-VIS-01 - Bellahøjvej 48 - Radar,KK+RG2310=001DL000 - S0202 - Average speed,m/s,36.937
KK-2406-RD-VIS-01 - Ålekistevej / Klitmøllervej - Radar,KK+RG2406=001DL000 - S0202 - Average speed,m/s,37.766
KK-2406-RD-VIS-02 - Ålekistevej 138 - Radar,KK+RG2406.1=001DL000 - S0202 - Average speed,m/s,41.741
KK-2410-RD-VIS-01 - Slotherrensvej 149 - Radar,KK+RG2410=001DL000 - S0202 - Average speed,m/s,43.474
KK-2603-CO-VIS-01 - Roskildevej/ Damhussøen (indadgående) - Cykelbarometer Counting Station,KK+CO2603=001DL001 - S0202 - Average speed,m/s,19.427
KK-2603-RD-VIS-02 - Roskildevej 183 - midt - Radar,KK+RG2603.1=001DL000 - S0202 - Average speed,m/s,44.856
KK-2603-RD-VIS-03 - Roskildevej 183 - højre - Skoletavle,KK+RG2603.2=001DL000 - S0202 - Average speed,m/s,43.412
KK-2612-RD-SMI-01 - Grøndals Parkvej / Jernbane Allé AG 26.12,KK+RG2612=001DL001 - S0202 - Average speed,m/s,21.374
KK-2612-RD-SMI-01 - Grøndals Parkvej / Jernbane Allé AG 26.12,KK+RG2612=001DL002 - S0202 - Average speed,m/s,14.152
KK-2612-RD-SMI-01 - Grøndals Parkvej / Jernbane Allé AG 26.12,KK+RG2612=001DL003 - S0202 - Average speed,m/s,32.835
KK-2703-RD-VIS-01 - Enghavevej ved Enghaveparken - Radar,KK+RG2703=001DL000 - S0202 - Average speed,m/s,39.141
KK-2703-RD-VIS-02 - Enghavevej ved Enghave Pl. - Radar,KK+RG2703.1=001DL000 - S0202 - Average speed,m/s,36.248
KK-2703-RD-VIS-04 - Enghave Plads 20 - Radar,KK+RG2703.3=001DL000 - S0202 - Average speed,m/s,74.552
KK-2703-RD-VIS-05 - Enghave Plads 14 - Radar,KK+RG2703.4=001DL000 - S0202 - Average speed,m/s,31.258
KK-2704-RD-VIS-01 - Enghavevej / Ny Carlberg Vej - Radar,KK+RG2704=001DL000 - S0202 - Average speed,m/s,30.408
KK-2801-RD-VIS-01 - Sjælør Boulevard 147 - Radar,KK+RG2801=001DL000 - S0202 - Average speed,m/s,40.846
KK-2804-RD-SMI-01  - Toftegårds Allé / Lyshøjgårdsvej AG 28.04,KK+RG2804=001DL001 - S0202 - Average speed,m/s,0.384
KK-2804-RD-SMI-01  - Toftegårds Allé / Lyshøjgårdsvej AG 28.04,KK+RG2804=001DL002 - S0202 - Average speed,m/s,0.191
KK-2804-RD-SMI-01  - Toftegårds Allé / Lyshøjgårdsvej AG 28.04,KK+RG2804=001DL003 - S0202 - Average speed,m/s,1.292
KK-2906-RD-SMI-01 - Vigerslevvej / Lykkebovej AG 29.06,KK+RG2906=001DL001 - S0202 - Average speed,m/s,4.784
KK-2906-RD-SMI-01 - Vigerslevvej / Lykkebovej AG 29.06,KK+RG2906=001DL002 - S0202 - Average speed,m/s,18.426
KK-2906-RD-SMI-01 - Vigerslevvej / Lykkebovej AG 29.06,KK+RG2906=001DL003 - S0202 - Average speed,m/s,30.277
KK-2908-RD-VIS-01 - Vigerslevvej 99  - Radar,KK+RG2908=001DL000 - S0202 - Average speed,m/s,31.723
KK-2908-RD-VIS-02 - Vigerslevvej 54  - Radar,KK+RG2908.1=001DL000 - S0202 - Average speed,m/s,37.775
KK-3002-RD-SMI-01  - Gl. Køge Landevej / Torveporten AG 30.02,KK+RG3002=001DL001 - S0202 - Average speed,m/s,11.635
KK-3002-RD-SMI-01  - Gl. Køge Landevej / Torveporten AG 30.02,KK+RG3002=001DL002 - S0202 - Average speed,m/s,33.167
KK-3002-RD-SMI-01  - Gl. Køge Landevej / Torveporten AG 30.02,KK+RG3002=001DL003 - S0202 - Average speed,m/s,32.795
KK-3002-RD-SMI-01  - Gl. Køge Landevej / Torveporten AG 30.02,KK+RG3002=001DL004 - S0202 - Average speed,m/s,33.306
